Property Reference Number,Full Property Address,Primary Liable party name,Analysis Code,Account Start Date,Current Rateable Value
177506064510,"110, Norway Road, Portsmouth, PO3 5FT",David Cover & Son Ltd,CW,24/05/1999,141000
177512122710,"S20, Gatcombe House, Copnor Road, Portsmouth, PO3 5EJ",David J Higgins Consulting Limited,CO,01/09/2021,1750
177509793010,"David Lloyd Club, The Boardwalk, Portsmouth, PO6 4TP",David Lloyd Leisure Ltd,LC2,10/09/2001,485000
177512119010,"The Coach House, Gatcombe House, Copnor Road, Portsmouth, PO3 5EJ",Dawson Levy Resourcing Limited,CO,01/04/2021,7700
177505366510,"3, Marmion Road, Southsea, Hants, PO5 2AT",Days Lettings Ltd,CS,01/08/2010,11250
177503609610,"58a, Havant Road, Portsmouth, PO2 7HH",Days Window & Door Services Limited,CW3,01/04/2003,8900
177502875310,"Unit 1, Warrior Business Centre, Fitzherbert Road, Portsmouth, PO6 1TX",Dci Refrigeration & Electrical Ltd,CW3,30/06/2005,44000
177510724910,"Unit F, Oyo Business Park, Fishers Grove, Portsmouth, Hants, PO6 1RN",Dci Refrigeration & Electrical Ltd,IF3,01/09/2007,25500
177510090310,"51-55, Elm Grove, Southsea, Hants, PO5 1JF",Debra,CS,12/10/2012,20500
177510662210,"Store 2 R/O S42-44 (Next), North Promenade Building, Gunwharf Quays, Portsmouth, Hants, PO1 3TT",Deckers Uk Ltd,CW3,03/08/2013,780
177511902210,"S56b, East Building, Gunwharf Quays, Portsmouth, PO1 3TX",Deckers Uk Ltd,CS,11/06/2012,121000
177501368210,"Rock & Sole, Former Tourist Information Centre, Clarence Esplanade, Southsea, Hants, PO5 3PB",Deep Blue Restaurants Limited,CS,05/12/2017,14750
177502371510,"160, Eastney Road, Southsea, Hants, PO4 8DY",Deep Blue Restaurants Limited,CS,10/12/2007,6700
177507472510,"221, Southampton Road, Portsmouth, PO6 4PY",Deep Blue Restaurants Limited,CR,25/07/2018,26250
177501367410,"Blue Reef Aqarium, Clarence Esplanade, Southsea, Hants, PO5 3PB",Deep Sea Leisure Plc,MX,01/04/2021,93000
177511412510,"Old Canal House, 27, Arundel Street, Portsmouth, Hants, PO1 1NB",Dees : London North & South,CO,22/08/2008,198000
177590133310,"Wynnstay House, 121, High Street, Portsmouth, PO6 3BR",Dees : London South East,CO,12/02/2007,113000
177511934310,"Units 4-5, Cascades, Portsmouth, PO1 4RJ",Deichmann-Shoes Uk Limited,CS,02/10/2019,173000
177504936910,"49, London Road, Portsmouth, PO2 0BH",Deli Santa Lucia Ltd,CS,01/01/2021,11250
177504937110,"Ground Floor, 51, London Road, Portsmouth, PO2 0BH",Deli Santa Lucia Ltd,CS,01/03/2021,9500
177502979310,"89, Fratton Road, Portsmouth, PO1 5AG",Delight Group Incorporated Ltd,CS,16/07/2020,18500
177510179710,"Unit 2.3, Central Point, Kirpal Road, Portsmouth, PO3 6FH",Delta Ventilation Ltd,IF3,07/05/2015,22000
177500108810,"219, Albert Road, Southsea, Hants, PO4 0JP",Deluxe Nails & Beauty Limited,CS,01/11/2021,7500
177510083710,"S99, The Canalside, Gunwharf Quays, Portsmouth, PO1 3FA",Denby Retail Ltd,CS,30/06/2014,49000
177590000510,"Unit 4, Fitzherbert Spur, Portsmouth, PO6 1TT",Dennis Eagle Limited,CW,17/08/2020,31500
177500166820,"195, Allaway Avenue, Portsmouth, PO6 4HG",Denovo Retail Limited,CS,22/11/2017,37500
177501687510,"191, Copnor Road, Portsmouth, PO3 5BT",Denovo Retail Limited,CS,03/12/2018,27000
177507041310,"88, St James'S Road, Southsea, Hants, PO5 4HZ",Denovo Retail Limited,CS,08/11/2017,23250
177510381310,"456, London Road, Portsmouth, PO2 9LD",Denovo Retail Limited,CS,06/11/2017,19250
177512302410,"Office 10, Block A, Port Way, Port Solent, Portsmouth, PO6 4TZ",Denton Property Law Limited,CO,01/12/2021,1975
177507716010,"Shop Adjacent, 1, Stubbington Avenue, Portsmouth, PO2 0HP",Denzil Properties (H & S) Ltd,CS,09/01/2008,1
177506969210,"Roebuck House, Roebuck Close, Portsmouth, PO6 2TA",Department For Works & Pensions,CO,01/04/2000,244000
177501679210,"113, Copnor Road, Portsmouth, PO3 5AG",Derby Motors Copnor Ltd,IF3,02/03/2015,11750
177504434110,"182, Kingston Road, Portsmouth, PO2 7LP",Desi Grill Portsmouth Ltd,CS,01/08/2021,4200
177512168310,"Unit 2, Hilsea Industrial Estate, Limberline Spur, Portsmouth, PO3 5JW",Design And Print Hub Limited,IF3,01/04/2017,10250
177505373210,"55-57, Marmion Road, Southsea, Hants, PO5 2AT",Design House Southsea Limited,CS,18/09/1995,23500
177590132710,"263 - 267, London Road, Portsmouth, PO2 9HA",Designs Alike Ltd,CS,01/01/2006,15750
177501884310,"9, Crasswell Street, Portsmouth, PO1 1HA",Des'N'Trace Limited,CS,15/01/2011,12500
177504426510,"124, Kingston Road, Portsmouth, PO2 7PD",Dewanuk Limited,CR,01/07/2018,5200
177505612810,"104-108, Milton Road, Portsmouth, PO3 6AR",Dg Windows Doors And Conservatories Limited,CW3,11/12/2020,6600
177505822810,"189, New Road, Portsmouth, PO2 7QU",Dgs Grinding Wheels & Machines Ltd,CS,01/04/1990,3150
177508956210,"Unit 44, Cascades, Portsmouth, PO1 4RR",Diamond Network Services Ltd,CS,09/10/2018,30500
177512300210,"Advertising Right 134702, Port Way, Portsmouth, PO6 4TS",Digital Cinema Media Ltd,CA,01/02/2017,1400
177512300310,"Advertising Right 134703, Port Way, Portsmouth, PO6 4TS",Digital Cinema Media Ltd,CA,01/02/2017,300
177501671810,"29, Copnor Road, Portsmouth, PO3 5AB",Digital Scientists Ltd,CS,07/06/2021,4850
177502980710,"104, Fratton Road, Portsmouth, PO1 5BZ",Dignity Funerals Ltd,CS,08/10/2012,14750
177502982210,"138, Fratton Road, Portsmouth, PO1 5DD",Dilan Food Centre Ltd,CS,01/12/2016,8400
177509023520,"Bldg 1-7 Grd Flr Porters Lodge, Hm Naval Base, Queen Street, Portsmouth, PO1 3PX",Dimples And Daisies Photography Ltd,CO,14/05/2021,6000
177503655310,"Store Adj St Philips Church Hall, Hawthorn Crescent, Portsmouth, PO6 2TL",Diocese Of Portsmouth- St Philips Church,CW3,01/04/2020,590
177502973120,"22-30, Fratton Road, Portsmouth, PO1 5BX",Direct Carpet Centre Ltd,CS,30/11/2015,40000
177500691710,"Precision Engineers, Bolde Close, Portsmouth, PO3 5RD",Dkw Engineering Ltd,IF,01/04/1990,59000
177506966210,"Unit 1, Cluster Industrial Estate, Rodney Road, Southsea, Hants, PO4 8ST",Dlm Properties Ltd,IF3,22/06/2011,12000
177508411010,"26, Waverley Road, Southsea, Hants, PO5 2PW",Dlm Spv Limited,CH2,15/05/2018,8500
177505011810,"The News Centre , London Road, Portsmouth, PO2 9SX",Dmg Media Limited,IF,17/10/2020,610000
177511931910,"92 - 96, London Road, Portsmouth, PO2 0LZ",Dmrpl Foods Ltd,CS,11/12/2020,48750
177503817010,"50, High Street, Cosham, Portsmouth, PO6 3AG",Done Brothers (Cash Betting) Ltd,CS2,17/03/2006,16500
177504939310,"81a, London Road, Portsmouth, PO2 0BH",Done Brothers (Cash Betting) Ltd,CS,04/01/2005,15500
177510701110,"33 & Pt 35, Arundel Street, Portsmouth, Hants, PO1 1NB",Done Brothers (Cash Betting) Ltd,CS2,13/12/2016,20000
177510747510,"133, Eastney Road, Southsea, Hants, PO4 8DZ",Done Brothers (Cash Betting) Ltd,CS,01/02/2007,15000
177503555920,"62, Havant Road, Cosham, Portsmouth, Hants, PO6 2QZ",Doors And Glass Ltd,CS,07/09/2011,10750
177511623210,"62c, Havant Road, Cosham, Portsmouth, Hants, PO6 2QZ",Doors And Glass Ltd,CS,06/10/2021,6100
177500084110,"Kings Hotel, 39, Albert Road, Southsea, Hants, PO5 2SE",Dore Inns Limited,CL,04/01/2020,27500
177502479620,"167, Elm Grove, Southsea, Hants, PO5 1LU",Double Global Limited,CR,29/01/2016,9400
177509759520,"Unit B4, Mountbatten Business Park, Jackson Close, Portsmouth, PO6 1US",Douglas Stewart Edu Limited,CW,12/03/2021,34250
177502214220,"Dragon House, Dundas Lane, Portsmouth, PO3 5SD",Dragon Computer Remarketing Ltd,IF,02/08/2010,59500
177510782510,"Unit 14 Discovery, Voyager Park, Portfield Road, Portsmouth, PO3 5FN",Dransfield Novelty Company Ltd,CW,18/06/2008,20500
177511194510,"Portakabin Adj, 282, Havant Road, Drayton, Portsmouth, Hants, PO6 1PA",Drayton & Farlington Action Group,CO,31/07/2007,650
177503575711,"246, Havant Road, Drayton, Portsmouth, PO6 1PA",Drayton Cycles Ltd,CS,01/10/2015,11250
177503570910,"280a, Havant Road, Portsmouth, PO6 2EH",Drayton Medical Services Limited,MH,01/04/2014,8100
177509453510,"6, Victory Retail Park, Flathouse Road, Portsmouth, PO1 4QS",Dreams Ltd,CS10,06/03/2013,35250
177511192810,"Unit 2c, Ocean Park, Burrfields Road, Portsmouth, PO3 5NP",Dreams Ltd,CS10,18/06/2021,164000
177502225710,"Workshop, Durham Street, Portsmouth, PO1 1NA",Drive In Automotive Engineers Ltd,CG1,22/12/2004,18500
177509860210,"Driving Test Centre, James Callaghan Drive, Portsmouth, PO6 1BE",Driving Standards Agency,TX,19/06/2001,23500
177590138710,"3, Gladstone Place, Portsmouth, PO2 7BL",Dsk Cafe Ltd,CS,16/07/2016,5300
177502874510,"Executive Windows/Br, Workshop, Fitzherbert Road, Portsmouth, PO6 1RZ",Dtw Ceramics Ltd,IF,06/08/2021,26500
177509961610,"Dtw Ceramics Ltd, Marshlands Road, Portsmouth, PO6 1ST",Dtw Ceramics Ltd,CW,01/12/2002,54000
177501728920,"Puddle Duck Nursery, 285a, Copnor Road, Portsmouth, PO3 5EJ",Duckpond Limited,EN1,01/09/2016,7000
177509871910,"S12, Central Square South Building, Gunwharf Quays, Portsmouth, PO1 3TW",Dune Group Ltd,CS,01/04/2021,83500
177501624610,"The Royal, 334a, Commercial Road, Portsmouth, PO1 4BT",Dupree Arms Limited,CL,22/08/2019,9100
177511921110,"East Side, Unit 20, Fitzherbert Road, Portsmouth, PO6 1SD",Durkin & Sons Ltd,IF3,01/04/2012,128000
177511456110,"Suite G26 East Wing, 1000 Lakeside, Western Road, Portsmouth, PO6 3EN",Dw Contractors (Oxford) Ltd,CO,01/04/2021,6200
177504946410,"Unit 3, The Gallery Arcade, 143-147, London Road, Portsmouth, PO2 9AB",Dx Network Services Ltd,CS,01/10/2007,2200
177510137411,"50a, Osborne Road, Southsea, Hants, PO5 3LT",Dylan Properties Limited,CO,06/12/2018,2325
177511641512,"Office 4 Trafalgar House, 223, Southampton Road, Portsmouth, PO6 4PY",Dynamic Gas Solutions Ltd,CO,01/08/2019,680
177512270810,"Rg1 & Rg2, Stage 2 Business Centre, Dundas Lane, Portsmouth, PO3 5ND",Dynamic Wrestling Limited,CO,01/03/2018,2425
177511855320,"Suite 212a Central Wing, 1000 Lakeside, Western Road, Portsmouth, PO6 3EN",Dynamite Recruitment Solutions Limited,CO,29/07/2020,18500
177501682110,"149, Copnor Road, Portsmouth, PO3 5BS",Dyson Hub Ltd,CS,01/04/2018,6900
177512122110,"S11, Gatcombe House, Copnor Road, Portsmouth, PO3 5EJ",E 2 I Holdings Limited,CO,01/11/2020,630
177510222320,"Buckland Family Hub, Turner Road, Portsmouth, PO1 4PN",Early Help And Prevention Service (Pcc),EX,01/09/2017,43500
177510645510,"Landport Family Hub, 221, Arundel Street, Portsmouth, PO1 1NF",Early Help And Prevention Service (Pcc),EX,01/09/2017,28750
177511921310,"Milton Park Family Hub, Perth Road, Southsea, Hants, PO4 8EU",Early Help And Prevention Service (Pcc),EX,01/09/2017,18000
177512068010,"Northern Parade Family Hub , Doyle Avenue, Portsmouth, PO2 9NE",Early Help And Prevention Service (Pcc),EX,01/09/2017,35250
177507057210,"Cotswold House, Milton Road, Portsmouth, Hants, PO3 6AD",East Shore Medical Partnership,MH,13/03/2017,29000
177501099210,"96, Castle Road, Southsea, Hants, PO5 3AZ",East Sung Limited,CR,01/12/2019,11500
177500774210,"Eastney Community Centre, Bransbury Park, Bransbury Road, Southsea, Hants, PO4 9SU",Eastney Area Community Association,LC3,01/04/1990,9000
177502916610,"5-7, Fort Cumberland Road, Southsea, Hants, PO4 9LG",Eastney Convenience Store Limited,CS,01/11/2017,8800
177502798710,"Club House, Ferry Road, Southsea, Hants, PO4 9LY",Eastney Cruising Ass,CL2,01/04/1990,32250
177510179210,"Unit 1.1, Central Point, Kirpal Road, Portsmouth, PO3 6FH",Easy Network Ltd,IF3,02/05/2005,17750
177505985510,"A6, Oak Park Industrial Estate, Northarbour Road, Portsmouth, PO6 3TJ",Ecarlogical Limited,CW,01/01/2020,28750
177512076410,"First Floor, 155a, Havant Road, Portsmouth, PO6 2AA",Echo Mortgages Ltd,CO,07/10/2014,3400
177503937110,"Ground Floor, 129, Highland Road, Southsea, Hants, PO4 9EY",Eden Hair Southsea Ltd,CS3,01/07/2020,3550
177504939610,"81e-81f, London Road, Portsmouth, PO2 0BH",Eden Mobility Ltd,CS,14/10/2011,23750
177506966610,"Unit 5, Cluster Industrial Estate, Rodney Road, Southsea, Hants, PO4 8ST",Edge Equipment Hire Ltd,IF3,01/10/2012,12500
177500076810,"1a, Albert Road, Southsea, Hants, PO5 2SE",Edit Laser Specialists Ltd,CS,19/06/2021,7100
177504156410,"5, Eastern Industrial Centre, Jackson Close, Portsmouth, PO6 1QW",Edmundson Electrical Limited,CW,01/04/1990,18750
177505800210,"Unit A2, Nevil Shute Road, Portsmouth, PO3 5SL",Edmundson Electrical Ltd,CW,01/04/1990,56000
177512157610,"Units 7 & 8, Mountbatten Business Park, Jackson Close, Portsmouth, Hants, PO6 1UH",Edmundson Electrical Ltd,CW,01/01/2015,53000
177506226110,"69, Osborne Road, Southsea, Hants, PO5 3LS",Edwards For Men Southsea Limited,CS,01/04/2011,9300
177504765710,"Solaglass, Limberline Road, Portsmouth, PO3 5JE",Ee Glass Ltd,IF,01/01/2019,145000
177508988710,"Starwise Sealed Units, Ocean House, Dundas Spur, Portsmouth, PO3 5ND",Ee Glass Ltd,IF3,01/04/2016,53500
177501617110,"186-188, Commercial Road, Portsmouth, PO1 1EX",Ee Ltd,CS,05/09/2013,104000
177506224510,"60, Osborne Road, Southsea, Hants, PO5 3LU",El Toro Restaurant Ltd,CR,01/10/2021,22250
177512119510,"G14, Gatcombe House, Copnor Road, Portsmouth, PO3 5EJ",Eleanor Nursing And Social Care Limited,CO,18/01/2021,1475
177590023910,"Unit 16, Limberline Estate, Limberline Spur, Portsmouth, PO3 5HJ",Elfords Ltd,IF3,01/04/2006,11750
177511840710,"Ground Floor, 74, Arundel Street, Portsmouth, Hants, PO1 1RX",Elim Foursquare Gospel Alliance,CO,02/07/2016,6800
177511840810,"First Floor, 74, Arundel Street, Portsmouth, Hants, PO1 1RX",Elim Foursquare Gospel Alliance,CO,31/12/2020,4750
177511475610,"Lakeside Cafe, 1000 Lakeside, Western Road, Portsmouth, PO6 3EN",Elior Uk Plc,CR1,16/02/2018,18750
177504996310,"13-14, Hilsea Market, London Road, Portsmouth, PO2 9RA",Elite Care Services Southern Ltd,CS,13/06/2016,21000
177505985020,"Unit 8, Acorn Business Centre, Northarbour Road, Portsmouth, PO6 3TH",Elite Ltd,CO,28/03/2017,39500
1775900731,"Unit 7c, The Pompey Centre, Dickinson Road, Southsea, Hants, PO4 8ER",Elliott Brothers Ltd,CW,25/02/2011,38750
177502471810,"121, Elm Grove, Southsea, Hants, PO5 1LJ",Elm Grove Laundrycare Ltd,CS5,01/04/2008,9300
177508743210,"135, Winter Road, Southsea, Hants, PO4 8DR",Elmbert Ltd,CS,01/04/1990,5700
177506947510,"3, Interchange Park, Robinson Way, Portsmouth, PO3 5QD",Elmdene International Ltd,CW,05/10/2009,211000
177510781011,"Unit 11 Explorer, Voyager Park, Portfield Road, Portsmouth, PO3 5FL",Emcor Group (Uk) Plc,CW,04/02/2019,23250
177503763110,"1, Henley Road, Southsea, Hants, PO4 0HS",Emmbee Ltd,CX,01/06/2018,11250
177502371410,"159, Eastney Road, Southsea, Hants, PO4 8EA",Empire Contractors Ltd,CS,01/07/2020,5600
177501699510,"311-313, Copnor Road, Portsmouth, PO3 5EG",Enable Ability,CS,28/07/1999,16750
177511346510,"Landport Community Centre, Charles Street, Portsmouth, PO1 1JD",Enable Ability,LC3,01/07/2019,12250
177512301610,"Office 2, Block A, Port Way, Port Solent, Portsmouth, PO6 4TZ",Enegen Power Systems Limited,CO,01/12/2020,2225
177512190310,"Suite 1, R/O 119, Winter Road, Southsea, Hants, PO4 8DS",Energy Deal Limited,CO+,05/08/2021,1825
177512183420,"Carillion Services At Queen Alexandra Hospital, Southwick Hill Road, Cosham, Portsmouth, PO6 3LY",Engie Services Limited,MH2,03/04/2018,9100
177507392210,"Unit 15, Victory Business Centre, Somers Road North, Portsmouth, PO1 1PJ",Enhanced Floors Limited,IF3,01/03/2019,3100
177512246010,"Units 6-9, Victory Trading Estate, Kiln Road, Portsmouth, PO3 5LP",Enl Ltd,CW,01/04/2015,83000
177508588410,"The Invincible, 6, Wickham Street, Portsmouth, PO1 3EF",Enterprise Inns Limited,CL,03/10/2018,16750
177506226010,"Kingsleys, 68, Osborne Road, Southsea, Hants, PO5 3LU",Entertaining Inns Ltd,CL,13/05/2008,24500
177512146710,"Store & Yard, Sandringham Lane, Portsmouth, PO1 5DN",Entex Doors Ltmited,CW3,07/06/2019,1500
177503577910,"Phoenix House, 266, Havant Road, Portsmouth, PO6 1PA",Enthuse Care Partners (Portsmouth) Limited,CS,01/08/2017,7400
177505096610,"4, Lower Drayton Lane, Portsmouth, PO6 2HA",Envisage Dental Drayton Limited,MH,01/03/2018,10250
177510789810,"Ground Floor Unit 10, Acorn Business Centre, Northarbour Road, Portsmouth, PO6 3TH",Equity Cleaning Services Ltd,CO,23/02/2007,13750
177590000210,"Roof Top (Po0033) , Phoenix Building, Claybank Road, Portsmouth, PO3",Erb Motors Ltd,MT1,29/07/2011,12500
177504497310,"Jewson, Knowsley Road, Portsmouth, PO6 2PG",Erith & Co Ltd,CW,01/04/1990,40000
177500087810,"63-65, Albert Road, Southsea, Hants, PO5 2RY",Errand Jervis Ltd,CS,01/08/1995,17000
177510960510,"Idno'S, Alexander Park, Northern Parade, Portsmouth, PO2 9PB",Esp Electricity Ltd,NX,01/04/2015,490
1775900989,"18-20, Palmerston Road, Southsea, Hants, PO5 3QH",Esquire Retail Ltd,CS,05/12/2019,65500
177512270410,"G16 Gatcombe House, Copnor Road, Portsmouth, PO3 5EJ",Estate Management Services (Commercial) Limited,CO,01/11/2016,3450
177509880010,"S57, Central Building, Gunwharf Quays, Portsmouth, PO1 3TU",Estee Lauder Cosmetics Ltd,CS,21/06/2007,111000
177512169410,"Unit 13, Hilsea Industrial Estate, Limberline Spur, Portsmouth, PO3 5JW",Eta Connect Ltd,CW,13/02/2017,12500
177507391110,"Unit 1, Victory Business Centre, Somers Road North, Portsmouth, PO1 1PJ",Etchwork Ltd,IF3,01/04/2016,2500
177509758810,"Unit A2, Mountbatten Business Park, Jackson Close, Portsmouth, PO6 1US",Euro Car Parts Ltd,CW,15/12/2006,27000
177511968810,"Unit 16-17 Discovery, Voyager, Portfield Road, Portsmouth, PO3 5FN",Euro Car Parts Ltd,CW,23/03/2018,31500
177510724510,"Unit C, Oyo Business Park, Fitzherbert Road, Portsmouth, PO6 1RG",Eurocell Building Plastics Ltd,IF3,26/01/2007,25250
177508957210,"Unit 52, Cascades, Portsmouth, PO1 4RJ",Eurochange Plc,CS,26/06/2014,16750
177503478210,"6, The Hard, Portsmouth, PO1 3DT",Europcar Uk Ltd,CS,04/02/1994,10250
177590133210,"National Car Rentals, Gunstore Road, Portsmouth, PO3 5HL",Europcar Uk Ltd,CW,19/07/2007,34000
177508987630,"Jordans & Sons, Dundas Spur, Portsmouth, Hants, PO3 5NX",European Metal Recycling Ltd,CW,01/04/2015,97500
177508955910,"Unit 41, Cascades, Portsmouth, PO1 4RR",Evapo Ltd,CS,20/02/2016,15500
177512122210,"S12, Gatcombe House, Copnor Road, Portsmouth, PO3 5EJ",Evelyn Enterprises Limited,CO,01/08/2020,430
177508989310,"Blueprint 1700, Dundas Spur, Portsmouth, PO3 5RW",Eventus Hire Ltd,IF,31/07/2008,70500
177500313610,"24, Arundel Street, Portsmouth, PO1 1NL",Every Cloud Vape Shop Limited,CS,25/05/2018,22000
177502879110,"Unit 7a, Fitzherbert Spur, Portsmouth, PO6 1TT",Every Cloud Vape Shop Ltd,IF,01/12/2018,23000
177504936410,"44, London Road, Portsmouth, PO2 0LN",Every Cloud Vape Shop Ltd,CS,21/03/2018,11500
177506319110,"30, Palmerston Road, Southsea, Hants, PO5 3QH",Everybody Pilates Ltd,CS,16/01/2017,38250
177503836110,"Aerial, 41, High Street, Portsmouth, ",Everything Everywhere Ltd,MT1,23/02/2000,2650
177505024710,"Site Ham 7069, Antennae Pole, Long Curtain Road, Portsmouth, PO5 3XX",Everything Everywhere Ltd,MT1,01/09/2000,4350
177505593510,"Orange Mast Ham 7030, Antennae Pole, Mile End Road, Portsmouth, ",Everything Everywhere Ltd,MT1,23/12/1999,4350
177505624510,"Orange Personal Comm, Mast, Milton Road, Portsmouth, PO3 6AD",Everything Everywhere Ltd,MT1,01/01/2000,4350
177509466910,"Site Ham 7099, 1, Bath Square, Portsmouth, PO1 2JL",Everything Everywhere Ltd,MT1,30/12/2000,2650
177509721810,"Roof Top (Ham0265), Pheonix Buildings, Claybank Road, Portsmouth, PO3 5NH",Everything Everywhere Ltd,MT1,16/08/2001,13500
177590124110,"Roof Top (Ham0264) At, 166, Haslemere Road, Southsea, Hants, PO4 9AS",Everything Everywhere Ltd,MT1,01/04/2005,12500
177590135910,"Ham 7015, Baptist Church, 195, Powerscourt Road, Buckland, Portsmouth, PO2 7JH",Everything Everywhere Ltd,MT1,01/04/2005,2500
177590137510,"Orange Ham 7034, 131, Winter Road, Southsea, PO4 8DS",Everything Everywhere Ltd,MT1,01/04/2005,2500
177511338310,"Unit 6, Fairway Business Centre, Airport Service Road, Portsmouth, Hants, PO3 5NU",Evolve Air Conditioning Limited,IF,16/12/2020,8600
177511884410,"Building 2 (East), Trafalgar Wharf, Hamilton Road, Portsmouth, PO6 4PX",Excel Fabrications Limited,IF3,01/05/2018,38500
177504763310,"Unit 14, Gunners Building, Limberline Road, Portsmouth, PO3 5BJ",Excell Metal Spinning Ltd,CW,07/06/2021,8500
177512094110,"Units 16-20, Gunners Buildings, Limberline Road, Portsmouth, PO3 5BJ",Excell Metal Spinning Ltd,IF3,03/11/2014,23500
177504936810,"48, London Road, Portsmouth, PO2 0LN",Exciting Escapes Limited,CS,25/06/2018,17750
177512305610,"Office 43, Block A, Port Way, Port Solent, Portsmouth, PO6 4TZ",Expert Peripheral Designs Limited,CO+,18/01/2021,5500
177508986810,"Express Paints, Dundas Spur, Portsmouth, PO3 5NX",Express Paints Ltd,IF,07/01/2005,28250
177500443110,"2b, Balliol Road, Portsmouth, PO2 7PP",Express Turbos Ltd,IF3,29/11/2013,1675
177501494510,"Unit 10, Ojs Industrial Park, Claybank Road, Portsmouth, PO3 5SX",Extreme Terrestrial Imaging Limited,IF3,01/07/2019,4950
177501697710,"297, Copnor Road, Portsmouth, PO3 5EG",Fabulong Ltd,CS3,01/09/2018,8500
177504765610,"Factor O Ltd, Limberline Road, Portsmouth, PO3 5JF",Factor - O Ltd,CW,01/04/2012,42750
177504565510,"2-4, Lake Road, Portsmouth, PO1 4EZ",Falcon News (Portsmouth) Ltd,CS,10/04/2014,19500
177512117210,"West Suite Block E, Ground Floor Enterprise House, Isambard Brunel Road, Portsmouth, PO1 2AW",Fareham College,CO,28/08/2020,10000
177502479710,"169, Elm Grove, Southsea, Hants, PO5 1LU",Farhad Barber Limited,CS3,07/02/2018,8900
1775900980,"43-45, Marmion Road, Southsea, Hants, PO5 2AT",Fat Face Ltd,CS,14/12/2001,24750
177512168410,"Unit 3, Hilsea Industrial Estate, Limberline Spur, Portsmouth, PO3 5JW",Feed4ward Control Limited,IF3,24/03/2017,10250
177510733810,"16, Victoria Road South, Southsea, PO5 2BZ",Ferryman-Southsea Ltd,CH2,15/10/2006,8400
177504951610,"Ground Floor, 191, London Road, Portsmouth, PO2 9AH",Festing Estates Limited,CO,01/12/2018,5500
177510179510,"Unit 2.1, Central Point, Kirpal Road, Portsmouth, PO3 6FH",Fifth Elevation Ltd,IF3,05/04/2019,19750
177500058110,"Unit 9, Admiral Park, Airport Service Road, Portsmouth, PO3 5RQ",Finding Case Ltd,CW,18/05/2015,19750
177500055710,"11, Fairway Business Centre, Airport Service Road, Portsmouth, PO3 5NU",Fire Safety Solutions Ltd,IF3,01/10/2010,8200
177501307410,"310, Chichester Road, Portsmouth, PO2 0AS",First Choice Dental Ltd,MH,01/01/2007,15000
177506252810,"First Floor, 42, Outram Road, Southsea, Hants, PO5 1QZ",First Choice Dental Ltd,MH,01/01/2007,22250
1775900984,"Suite 204, Technopole, Kingston Crescent, Portsmouth, PO2 8FA",First Choice Tax Solutions Ltd,CO,01/03/2019,5300
177507207110,"2-3, Selbourne Terrace, Portsmouth, PO1 5BS",First Greater Western Ltd,CO,10/11/2014,13000
177512149110,"Portacabin, The Hard, Portsmouth, PO1 3PA",First Hampshire&Dorset Ltd,CO,03/09/2015,1175
177503482110,"Kiosk Harbour Station, The Hard, Portsmouth, PO1 3EU",First Mtr South Western Trains Limited,CX,20/08/2017,5300
177503482910,"Kiosk, Adj Railway Station, The Hard, Portsmouth, Hants, PO1 3DT",First Mtr South Western Trains Limited,CS4,20/08/2017,2800
177509793710,"Refreshment Rooms, Portsmouth & Southsea Station, Commercial Road, Portsmouth, PO1 1EH",First Mtr South Western Trains Limited,CR1,06/11/2020,26500
177509794610,"Information & Advice Centre, Portsmouth & Southsea Station, Commercial Road, Portsmouth, PO1 1EQ",First Mtr South Western Trains Limited,CO,20/08/2017,13000
177502423210,"8, Edinburgh Road, Portsmouth, PO1 1DH",First People Recruitment Ltd,CO,29/04/1994,6200
177504764410,"Unit 25, Gunners Building, Limberline Road, Portsmouth, PO3 5BJ",Fitztech Machining Ltd,CW,24/06/2011,7300
177500054710,"3, Fairway Business Centre, Airport Service Road, Portsmouth, PO3 5NU",Fizzy Print Ltd,CW,17/03/2017,7400
177504993820,"Holiday Let At, 1st & 2nd Floor, 121 - 123, London Road, Portsmouth, Hants, PO2 9AA",Flatiron Capital Ltd,CO,29/02/2016,3200
177511898110,"Ground Floor, 121 - 123, London Road, Portsmouth, Hants, PO2 9AA",Flatiron Capital Ltd,CS,23/09/2020,10250
177504936210,"42, London Road, Portsmouth, PO2 0LN",Flavouroo Limited,CS,23/03/2019,12250
177512114930,"Unit 5, 10, Claybank Road, Portsmouth, PO3 5NH",Florio'S Ltd,CO,01/11/2015,3000
177504934111,"21 - 23, London Road, Portsmouth, PO2 0BQ",Food 4 U ( Portsmouth) Ltd,CS,01/12/2017,23500
177501614410,"117, Commercial Road, Portsmouth, PO1 1BU",Footasylum Ltd,CS,11/09/2015,84500
177509468510,"Blueprint 2500, Portfield Road, Portsmouth, PO3 5SE",Forelle Estates Ltd,IF3,23/06/2020,149000
177512177310,"Ground Floor, Shore House, Compass Road, Portsmouth, PO6 4PR",Forelle Estates Ltd,CO,01/07/2021,129000
177500167010,"197, Allaway Avenue, Portsmouth, PO6 4HG",Forever Together Funeral Care Ltd,CS3,16/05/2016,9300
177501152410,"8, Charlotte Street, Portsmouth, PO1 4AJ",Forever Together Funeral Care Ltd,CS,01/10/2015,9000
